i:      0, sim time:  0.000, wall time:  0 seconds, Δt:  0.0101, advective CFL: 0.00e+00, diffusive CFL: 1.43e-02
i:     10, sim time:  0.101, wall time: 1.131 minutes, Δt:  0.0101, advective CFL: 5.56e-05, diffusive CFL: 1.43e-02
i:     20, sim time:  0.202, wall time: 1.132 minutes, Δt:  0.0101, advective CFL: 8.96e-05, diffusive CFL: 1.43e-02
i:     30, sim time:  0.303, wall time: 1.134 minutes, Δt:  0.0101, advective CFL: 1.92e-04, diffusive CFL: 1.43e-02
i:     40, sim time:  0.403, wall time: 1.136 minutes, Δt:  0.0101, advective CFL: 3.23e-04, diffusive CFL: 1.43e-02
i:     50, sim time:  0.504, wall time: 1.137 minutes, Δt:  0.0111, advective CFL: 5.26e-04, diffusive CFL: 1.57e-02
i:     60, sim time:  0.615, wall time: 1.160 minutes, Δt:  0.0111, advective CFL: 7.39e-04, diffusive CFL: 1.57e-02
i:     70, sim time:  0.726, wall time: 1.161 minutes, Δt:  0.0111, advective CFL: 9.78e-04, diffusive CFL: 1.57e-02
i:     80, sim time:  0.837, wall time: 1.163 minutes, Δt:  0.0111, advective CFL: 1.24e-03, diffusive CFL: 1.57e-02
i:     90, sim time:  0.948, wall time: 1.164 minutes, Δt:  0.0111, advective CFL: 1.52e-03, diffusive CFL: 1.57e-02
i:    100, sim time:  1.055, wall time: 1.165 minutes, Δt:  0.0122, advective CFL: 1.99e-03, diffusive CFL: 1.73e-02
i:    110, sim time:  1.177, wall time: 1.167 minutes, Δt:  0.0122, advective CFL: 2.38e-03, diffusive CFL: 1.73e-02
i:    120, sim time:  1.299, wall time: 1.168 minutes, Δt:  0.0122, advective CFL: 2.78e-03, diffusive CFL: 1.73e-02
i:    130, sim time:  1.421, wall time: 1.169 minutes, Δt:  0.0122, advective CFL: 3.21e-03, diffusive CFL: 1.73e-02
i:    140, sim time:  1.544, wall time: 1.170 minutes, Δt:  0.0122, advective CFL: 3.66e-03, diffusive CFL: 1.73e-02
